fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-05-14,2241,971,1868,798,0.4332887103971441,0.4271948608137045
2020-05-15,2680,1181,2197,969,0.4406716417910448,0.44105598543468366
2020-05-16,959,439,797,371,0.45776850886339937,0.465495608531995
2020-05-17,611,288,522,249,0.4713584288052373,0.47701149425287354
2020-05-18,2720,1183,2211,956,0.4349264705882353,0.4323835368611488
2020-05-19,2564,1207,2115,995,0.4707488299531981,0.47044917257683216
2020-05-20,2688,1239,2147,1014,0.4609375,0.47228691197019096
2020-05-21,2770,1232,2277,996,0.4447653429602888,0.43741765480895917
2020-05-22,2785,1226,2266,954,0.4402154398563734,0.4210061782877317
2020-05-23,921,392,805,335,0.4256243213897937,0.4161490683229814
2020-05-24,641,300,520,251,0.46801872074882994,0.4826923076923077
2020-05-25,2875,1294,2302,1030,0.45008695652173913,0.4474370112945265
2020-05-26,2905,1386,2303,1075,0.4771084337349398,0.46678245766391663
2020-05-27,3322,1450,2698,1177,0.43648404575556893,0.4362490733876946
2020-05-28,2357,1059,1953,898,0.44929995757318625,0.45980542754736303
2020-05-29,2542,1120,2165,956,0.44059795436664045,0.4415704387990762
2020-05-30,1156,547,991,472,0.4731833910034602,0.47628657921291623
2020-05-31,690,346,574,296,0.5014492753623189,0.5156794425087108
2020-06-01,3050,1469,2522,1205,0.4816393442622951,0.47779540047581287
2020-06-02,3023,1419,2382,1083,0.46940125702944097,0.45465994962216627
2020-06-03,3250,1457,2591,1109,0.4483076923076923,0.4280200694712466
2020-06-04,2802,1164,2316,954,0.41541755888650966,0.4119170984455959
2020-06-05,2920,1235,2415,1010,0.4229452054794521,0.41821946169772256
2020-06-06,1036,482,878,400,0.46525096525096526,0.45558086560364464
2020-06-07,634,294,523,257,0.4637223974763407,0.491395793499044
2020-06-08,3172,1493,2585,1199,0.4706809583858764,0.46382978723404256
2020-06-09,2984,1401,2409,1085,0.4695040214477212,0.45039435450394355
2020-06-10,3073,1370,2503,1071,0.44581841848356657,0.42788653615661204
2020-06-11,3034,1272,2414,984,0.41924851680949243,0.4076222038111019
2020-06-12,3096,1249,2533,1006,0.4034237726098191,0.39715752072641136
2020-06-13,1128,436,921,347,0.38652482269503546,0.3767643865363735
2020-06-14,855,351,672,263,0.4105263157894737,0.3913690476190476
2020-06-15,3110,1142,2517,881,0.3672025723472669,0.35001986491855386
2020-06-16,3187,1244,2630,1020,0.39033573893944146,0.38783269961977185
2020-06-17,3083,1196,2453,950,0.3879338306843983,0.38728088055442317
2020-06-18,2900,1070,2378,874,0.3689655172413793,0.3675357443229605
2020-06-19,2872,1109,2276,867,0.38614206128133705,0.38093145869947276
2020-06-20,980,364,803,300,0.37142857142857144,0.37359900373599003
2020-06-21,727,294,602,245,0.40440165061898214,0.4069767441860465
2020-06-22,2735,1103,2202,859,0.40329067641681904,0.39009990917347864
2020-06-23,2809,1074,2341,882,0.3823424706301175,0.37676206749252455
2020-06-24,2705,1071,2276,892,0.39593345656192236,0.39191564147627417
2020-06-25,2866,1084,2364,876,0.3782274947662247,0.37055837563451777
2020-06-26,2925,1075,2419,878,0.36752136752136755,0.36295990078544854
2020-06-27,895,360,716,286,0.4022346368715084,0.3994413407821229
2020-06-28,704,241,535,198,0.34232954545454547,0.37009345794392523
2020-06-29,3737,1385,2997,1069,0.3706181428953706,0.35669002335669003
2020-06-30,3306,1285,2662,1011,0.38868723532970356,0.37978963185574754
2020-07-01,3239,1247,2659,990,0.3849953689410312,0.3723204212109816
2020-07-02,2863,1106,2370,904,0.3863080684596577,0.38143459915611816
2020-07-03,3362,1205,2830,983,0.3584176085663296,0.3473498233215548
2020-07-04,1024,354,885,304,0.345703125,0.34350282485875705
2020-07-05,783,243,665,199,0.3103448275862069,0.2992481203007519
2020-07-06,3386,1224,2763,989,0.3614884819846427,0.35794426348172276
2020-07-07,3357,1290,2715,998,0.38427167113494193,0.3675874769797422
2020-07-08,3342,1232,2868,1051,0.3686415320167564,0.36645746164574616
2020-07-09,3007,1005,2426,738,0.3342201529763884,0.30420445177246497
2020-07-10,3100,990,2589,830,0.3193548387096774,0.32058709926612594
2020-07-11,1035,351,841,286,0.3391304347826087,0.3400713436385256
2020-07-12,750,265,631,227,0.35333333333333333,0.35974643423137875
2020-07-13,3505,1337,2924,1085,0.38145506419400854,0.3710670314637483
2020-07-14,3451,1265,2878,1038,0.36656041727035643,0.3606671299513551
2020-07-15,4411,1408,3827,1162,0.3192019950124688,0.3036320877972302
2020-07-16,4311,1377,3739,1127,0.31941544885177453,0.3014174913078363
2020-07-17,4340,1250,3846,1071,0.2880184331797235,0.2784711388455538
2020-07-18,1801,619,1619,554,0.34369794558578565,0.34218653489808526
2020-07-19,930,296,808,244,0.31827956989247314,0.30198019801980197
2020-07-20,4048,1391,3472,1149,0.3436264822134387,0.3309331797235023
2020-07-21,3755,1221,3195,1038,0.32516644474034623,0.3248826291079812
2020-07-22,4180,1463,3679,1318,0.35,0.35824952432726287
2020-07-23,3768,1265,3258,1106,0.3357218683651805,0.33947206875383673
2020-07-24,3749,1093,3256,951,0.29154441184315816,0.29207616707616707
2020-07-25,1352,433,1187,380,0.3202662721893491,0.3201347935973041
2020-07-26,912,301,784,250,0.3300438596491228,0.31887755102040816
2020-07-27,3560,1269,2964,1069,0.35646067415730337,0.3606612685560054
2020-07-28,3628,1125,3078,934,0.31008820286659317,0.30344379467186483
2020-07-29,3765,1131,3362,1003,0.300398406374502,0.2983343248066627
2020-07-30,3896,1249,3394,1080,0.3205852156057495,0.3182086034177961
2020-07-31,3758,1185,3258,1006,0.31532730175625334,0.3087783916513198
2020-08-01,1487,444,1295,396,0.29858776059179554,0.30579150579150577
2020-08-02,822,272,685,227,0.3309002433090024,0.33138686131386863
2020-08-03,3076,1015,2641,860,0.32997399219765927,0.3256342294585384
2020-08-04,3832,1226,3295,1041,0.319937369519833,0.3159332321699545
2020-08-05,3691,1245,3207,1057,0.33730696288268763,0.32959151855316493
2020-08-06,3453,1018,2974,881,0.29481610194034175,0.2962340282447882
2020-08-07,3744,1096,3213,963,0.29273504273504275,0.29971988795518206
2020-08-08,1385,396,1217,349,0.28592057761732853,0.2867707477403451
2020-08-09,721,207,588,176,0.2871012482662968,0.29931972789115646
2020-08-10,3500,1102,2932,916,0.31485714285714284,0.31241473396998637
2020-08-11,3925,1270,3467,1112,0.3235668789808917,0.3207383905393712
2020-08-12,3890,1164,3331,1004,0.2992287917737789,0.30141098769138397
2020-08-13,3859,1070,3346,951,0.27727390515677636,0.28421996413628214
2020-08-14,4124,1221,3510,1035,0.2960717749757517,0.2948717948717949
2020-08-15,1498,440,1309,386,0.2937249666221629,0.29488158899923606
2020-08-16,741,216,620,175,0.291497975708502,0.28225806451612906
2020-08-17,3584,1162,3075,986,0.32421875,0.32065040650406507
2020-08-18,3910,1353,3453,1194,0.34603580562659847,0.34578627280625546
2020-08-19,4007,1262,3533,1119,0.3149488395308211,0.3167279932069063
2020-08-20,3229,957,2782,832,0.2963765871786931,0.29906542056074764
2020-08-21,4050,1228,3519,1054,0.30320987654320986,0.2995169082125604
2020-08-22,1473,429,1276,384,0.29124236252545826,0.30094043887147337
2020-08-23,737,255,615,217,0.34599728629579374,0.35284552845528455
